name_pov_2,ZSID_POVadm2,WBG_P2_pov_hcr,WBG_P2_pov_year,WBG_P2_hc_GPW,WBG_P2original_POP,WBG_P2original_POP_POV,WBG_P2original_METHOD
TA Mwabulambya,1154,73.600197,2010,72099.992,68700,50563,Survey+Census
TA Mwenemisuku,1155,74.453796,2010,22727.609,27400,20400,Survey+Census
TA Mwenewenya,1156,77.354301,2010,17051.18,19151,14814,Survey+Census
TA Nthalire,1157,75.558403,2010,24045.934,27963,21128,Survey+Census
TA Kameme,1158,76.9561,2010,16746.34,19106,14703,Survey+Census
Nyika National Park,1159,,2010,,,,Survey+Census
Chitipa Boma,1160,34.549801,2010,5075.8213,13499,4664,Survey+Census
TA Kilupula,1161,69.111603,2010,46925.141,59740,41287,Survey+Census
TA Mwakaboko,1162,64.092903,2010,15097.96,19183,12295,Survey+Census
TA Kyungu,1163,67.627296,2010,51984.676,64735,43779,Survey+Census
TA Wasambo,1164,65.265503,2010,39256.414,52491,34259,Survey+Census
TA Mwirang'ombe,1165,57.893398,2010,18107.59,27929,16169,Survey+Census
Nyika National Park,1166,,2010,,,,Survey+Census
Karonga Boma,1167,33.0872,2010,14847.917,38369,12695,Survey+Census
TA Kabunduli,1168,50.601002,2010,21342.207,37521,18986,Survey+Census
TA Fukamapiri,1169,59.4109,2010,11532.444,16985,10091,Survey+Census
TA Malenga Mzoma,1170,56.8699,2010,5185.8066,8835,5024,Survey+Census
TA Malanda,1171,53.1478,2010,12602.833,20210,10741,Survey+Census
TA Zilakoma,1172,60.844398,2010,9243.791,13340,8117,Survey+Census
TA Mankhambira,1173,65.703499,2010,15086.724,21245,13959,Survey+Census
TA Fukamalaza,1174,55.506001,2010,6912.2192,10787,5987,Survey+Census
TA Mkumbira,1175,48.873501,2010,5883.7651,10734,5246,Survey+Census
TA Musisya,1176,66.567703,2010,11465.965,15800,10518,Survey+Census
TA Nyaluwanga,1177,42.319698,2010,3630.1792,7181,3039,Survey+Census
TA Mkondowe,1178,55.0989,2010,1139.2587,1847,1018,Survey+Census
TA Timbiri,1179,49.859402,2010,20744.652,34572,17237,Survey+Census
TA Boghoyo,1180,55.0989,2010,819.53235,1175,647,Survey+Census
Nkhata Bay Boma,1181,25.316401,2010,3149.7031,10432,2641,Survey+Census
TA Chikulamayembe,1182,42.330601,2010,31891.695,60835,25752,Survey+Census
TA Mwamlowe,1183,59.271999,2010,4482.0674,8245,4887,Survey+Census
TA Mwahenga,1184,39.033001,2010,5658.6724,12164,4748,Survey+Census
TA Mwalweni,1185,52.413101,2010,11336.13,19105,10014,Survey+Census
TA Kachulu,1186,50.656399,2010,5208.856,9125,4622,Survey+Census
TA Chapinduka,1187,62.876801,2010,1882.3552,2727,1715,Survey+Census
TA Mwankhunikira,1188,39.806599,2010,9305.6475,18804,7485,Survey+Census
TA Katumbi,1189,45.801899,2010,6770.7349,12894,5906,Survey+Census
TA Zolokere,1190,60.132198,2010,3126.0427,4815,2895,Survey+Census
Nyika National Park,1191,42.330601,2010,973.26227,444,188,Survey+Census
Vwaza Marsh Game Reserve,1192,60.132198,2010,294.33682,43,26,Survey+Census
Rumphi Boma,1193,16.501499,2010,2550.7356,15933,2629,Survey+Census
TA M'mbelwa,1194,66.212601,2010,89739.461,116233,76961,Survey+Census
TA Mtwalo,1195,56.928799,2010,92567.813,137175,78092,Survey+Census
TA Kampingo Sibande,1196,59.475498,2010,39303.68,56568,33644,Survey+Census
TA Jaravikuba Munthali,1197,48.954899,2010,8022.5796,14506,7101,Survey+Census
TA Chindi,1198,66.4804,2010,99489.984,128172,85209,Survey+Census
TA Mzikubola,1199,66.935204,2010,52869.801,67438,45140,Survey+Census
TA Mabulabo,1200,65.339302,2010,47322.504,62125,40592,Survey+Census
TA Khosolo Gwaza Jere,1201,72.434799,2010,31501.088,36932,26752,Survey+Census
TA Mpherembe,1202,62.4137,2010,30217.197,42483,26515,Survey+Census
TA Mzukuzuku,1203,60.952999,2010,22362.553,31229,19035,Survey+Census
Vwaza Marsh Reserve,1204,62.4137,2010,779.70667,151,94,Survey+Census
Mzimba Boma,1205,31.245399,2010,6576.4854,18977,5929,Survey+Census
Nkhorongo Ward,1206,38.2854,2010,1572.3977,2852,1092,Survey+Census
Lupaso Ward,1207,17.307899,2010,3867.9045,15626,2705,Survey+Census
Chiputula Ward,1208,17.063101,2010,4152.1455,6862,1171,Survey+Census
Zolozolo Ward,1209,18.801001,2010,2469.4453,21080,3963,Survey+Census
Chibanja Ward,1210,13.8204,2010,1815.5526,9289,1284,Survey+Census
Mchengautuwa Ward,1211,19.521601,2010,5472.687,28578,5579,Survey+Census
Katoto Ward,1212,15.9008,2010,1513.0914,6227,990,Survey+Census
Jombo Ward,1213,3.72,2010,54.177727,1187,44,Survey+Census
Muzilawayingwe Ward,1214,22.766701,2010,331.57208,3224,734,Survey+Census
Chasefu Ward,1215,3.72,2010,78.278343,1480,55,Survey+Census
Katawa Ward,1216,9.8599997,2010,779.16132,2965,292,Survey+Census
Masasa Ward,1217,3.72,2010,116.8211,1431,53,Survey+Census
Kaning'ina Ward,1218,1.78,2010,40.0051,3124,56,Survey+Census
Viphya Ward,1219,28.104799,2010,4187.1699,11917,3349,Survey+Census
Msongwe Ward,1220,43.6367,2010,1126.8505,2703,1180,Survey+Census
New Airport Site Ward,1221,31.882999,2010,4485.0464,7335,2339,Survey+Census
TA Mkumpha,1222,51.385399,2010,4373.3999,9328,4793,Survey+Census
Likoma Boma,1223,51.385399,2010,424.97525,1357,697,Survey+Census
TA Kaluluma,1224,34.8274,2010,18905.021,43472,15140,Survey+Census
SC Simlemba,1225,43.759899,2010,14558.763,28980,12682,Survey+Census
SC M'nyanja,1226,51.500702,2010,18553.633,30723,15823,Survey+Census
SC Chisikwa,1227,50.487499,2010,3209.2278,6261,3161,Survey+Census
TA Kaomba,1228,41.6078,2010,19479.324,40495,16849,Survey+Census
SC Lukwa,1229,43.011002,2010,14642.014,30228,13001,Survey+Census
SC Kawamba,1230,36.858898,2010,16941.162,40727,15012,Survey+Census
SC Njombwa,1231,36.976799,2010,17853.422,38067,14076,Survey+Census
SC Chilowamatambe,1232,43.762199,2010,18706.352,36919,16157,Survey+Census
TA Chulu,1233,41.197102,2010,27826.691,58454,24081,Survey+Census
TA Santhe,1234,34.193501,2010,32017.006,81024,27705,Survey+Census
TA Wimbe,1235,50.723499,2010,46578.617,83142,42172,Survey+Census
TA Kapelula,1236,43.8046,2010,19289.521,37565,16455,Survey+Census
TA Mwase,1237,49.687,2010,11878.876,310,154,Survey+Census
Kasungu National Park,1238,49.687,2010,1328.3081,21192,10530,Survey+Census
Kasungu Boma,1239,11.2228,2010,4613.1875,37821,4245,Survey+Census
Nkhotakota Game Reserve,1240,,2010,,,,Survey+Census
TA Kanyenda,1241,33.9617,2010,33743.602,87198,29614,Survey+Census
SC Kafuzila,1242,40.171398,2010,8254.125,17559,7054,Survey+Census
Nkhotakota Game Reserve,1243,,2010,,,,Survey+Census
TA Malenga Chanzi,1244,46.0695,2010,27196.334,51765,23848,Survey+Census
SC Mphonde,1245,37.621899,2010,10966.485,24469,9206,Survey+Census
TA Mwadzama,1246,40.706402,2010,31786.379,67915,27646,Survey+Census
SC Mwansambo,1247,34.820702,2010,9514.8066,23397,8147,Survey+Census
Nkhotakota Boma,1248,25.110399,2010,6002.6865,22611,5678,Survey+Census
TA Kasakula,1249,48.16,2010,8802.2588,14755,7106,Survey+Census
TA Chikho,1250,47.615002,2010,14661.172,26741,12733,Survey+Census
TA Nthondo,1251,46.811699,2010,11359.815,21397,10016,Survey+Census
TA Kalumo,1252,34.164101,2010,38543.887,88919,30378,Survey+Census
TA Chilooko,1253,35.8722,2010,25378.902,60942,21861,Survey+Census
Ntchisi Boma,1254,16.472,2010,1230.8046,7282,1199,Survey+Census
TA Dzoole,1255,50.5602,2010,45865.949,74675,37756,Survey+Census
TA Chakhaza,1256,44.3475,2010,59725.598,119294,52904,Survey+Census
TA Kayembe,1257,55.417,2010,54375.828,84813,47001,Survey+Census
TA Chiwere,1258,45.1968,2010,41616.375,81236,36716,Survey+Census
TA Mkukula,1259,44.998901,2010,39136.98,72412,32585,Survey+Census
TA Msakambewa,1260,54.414001,2010,40447.383,65304,35535,Survey+Census
TA Mponela,1261,26.997299,2010,11526.379,49394,13335,Survey+Census
Dowa Boma,1262,20.712799,2010,739.16235,4265,883,Survey+Census
Mponela Urban,1263,26.997299,2010,3342.7771,49394,13335,Survey+Census
TA Maganga,1264,40.065601,2010,22368.443,46099,18470,Survey+Census
TA Karonga,1265,47.527302,2010,30350.557,55860,26549,Survey+Census
TA Pemba,1266,46.374599,2010,8977.9238,19806,9185,Survey+Census
TA Kambwiri,1267,58.270302,2010,17923.324,27126,15806,Survey+Census
TA Ndindi,1268,50.402401,2010,22188.846,39608,19963,Survey+Census
TA Kambalame,1269,46.5676,2010,8368.2979,15600,7265,Survey+Census
TA Khombedza,1270,46.928501,2010,37061.953,67199,31535,Survey+Census
TA Mwanza,1271,57.7654,2010,14099.143,20985,12122,Survey+Census
TA Kuluunda,1272,47.3186,2010,5427.9712,9849,4660,Survey+Census
TA Msosa,1273,52.883701,2010,2663.7588,5605,2964,Survey+Census
Salima Boma,1274,34.248199,2010,10839.092,27204,9317,Survey+Census
TA Chadza,1275,54.427399,2010,69141.305,110628,60212,Survey+Census
TA Kalolo,1276,56.014099,2010,89112.227,138837,77768,Survey+Census
TA Chiseka,1277,51.781799,2010,133145.78,226731,117405,Survey+Census
TA Mazengera,1278,55.598999,2010,60094.145,95212,52937,Survey+Census
TA Chitekwele,1279,55.304501,2010,25488.107,38015,21024,Survey+Census
TA Khongoni,1280,62.4175,2010,71667.961,98754,61640,Survey+Census
TA Chimutu,1281,46.679001,2010,47490.418,89290,41680,Survey+Census
TA Chitukula,1282,54.551498,2010,17820.1,28427,15507,Survey+Census
TA Mtema,1283,55.481899,2010,31533.986,48314,26806,Survey+Census
TA Kalumbu,1284,54.619499,2010,36012.715,57751,31543,Survey+Census
TA Tsabango,1285,44.187199,2010,15897.586,30998,13697,Survey+Census
TA Kalumba,1286,47.497101,2010,11779.872,22676,10770,Survey+Census
TA Njewa,1287,42.248199,2010,16367.265,31790,13431,Survey+Census
TA Malili,1288,53.590401,2010,57700.789,89158,47780,Survey+Census
TA Kabudula,1289,45.072899,2010,56502.457,110972,50018,Survey+Census
TA Mlonyeni,1290,51.391399,2010,21010.354,36933,18980,Survey+Census
TA Mavwere,1291,59.031101,2010,59042.32,89470,52815,Survey+Census
TA Zulu,1292,52.7976,2010,57890.34,89355,47177,Survey+Census
TA Nduwa,1293,66.666801,2010,61103.531,77672,51781,Survey+Census
TA Mkanda,1294,57.6996,2010,57881.078,85530,49351,Survey+Census
TA Dambe,1295,43.590599,2010,27418.008,52259,22780,Survey+Census
Mchinji Boma,1296,14.7959,2010,2660.1687,16935,2506,Survey+Census
TA Pemba,1297,47.5779,2010,69704.789,130900,62279,Survey+Census
SC Chilikumwendo,1298,48.208199,2010,32307.824,60446,29140,Survey+Census
TA Kaphuka,1299,47.485001,2010,67902.617,133505,63395,Survey+Census
TA Tambala,1300,60.540699,2010,42909.16,62351,37748,Survey+Census
SC Chauma,1301,55.628601,2010,13130.522,20796,11569,Survey+Census
TA Kasumbu,1302,57.0383,2010,47290.742,72043,41092,Survey+Census
TA Kachindamoto,1303,53.975399,2010,57854.172,92390,49868,Survey+Census
SC Kamenya Gwaza,1304,54.927502,2010,18459.781,30603,16809,Survey+Census
Dedza Boma,1305,26.9965,2010,5710.5342,18694,5047,Survey+Census
TA Phambala,1306,46.680698,2010,27952.998,54238,25319,Survey+Census
TA Mpando,1307,47.788101,2010,26559.955,51256,24494,Survey+Census
TA Kwataine,1308,40.961498,2010,19203.277,40766,16698,Survey+Census
TA Makwangwala,1309,44.8759,2010,43850.27,84616,37972,Survey+Census
TA Champiti,1310,43.285702,2010,7610.2788,15483,6702,Survey+Census
TA Njolomole,1311,50.4245,2010,29540.221,53588,27021,Survey+Census
TA Chakhumbira,1312,42.1241,2010,11397.745,26425,11131,Survey+Census
TA Goodson Ganya,1313,48.763599,2010,58960.844,105638,51513,Survey+Census
TA Masasa,1314,42.489498,2010,12285.349,23667,10056,Survey+Census
Ntcheu Boma,1315,16.1339,2010,2391.3481,12515,2019,Survey+Census
Area 1,1316,6.6799998,2010,819.11102,12496,835,Survey+Census
Area 2,1317,.57599998,2010,12.322586,2632,15,Survey+Census
Area 3,1318,.866,2010,31.50367,4314,37,Survey+Census
Area 4,1319,1.51,2010,15.803511,89,1,Survey+Census
Area 5,1320,1.51,2010,11.866428,446,7,Survey+Census
Area 6,1321,1.51,2010,30.003397,764,12,Survey+Census
Area 7,1322,5.6700001,2010,2326.7029,39423,2235,Survey+Census
Area 8,1323,12.5151,2010,3495.2771,24144,3022,Survey+Census
Area 9,1324,.52100003,2010,9.4800434,1841,10,Survey+Census
Area 10,1325,3.6300001,2010,148.64897,3151,114,Survey+Census
Area 11,1326,1.51,2010,9.7290268,783,12,Survey+Census
Area 12,1327,2.53,2010,37.199684,2236,57,Survey+Census
Area 13,1328,,2010,,,,Survey+Census
Area 14,1329,1.51,2010,7.2135916,1010,15,Survey+Census
Area 15,1330,1.51,2010,23.251011,1343,20,Survey+Census
Area 16,1331,,2010,,3,,Survey+Census
Area 17,1332,,2010,,4,,Survey+Census
Area 18,1333,.29300001,2010,36.709278,13662,40,Survey+Census
Area 19,1334,,2010,,,,Survey+Census
Area 20,1335,,2010,,12,,Survey+Census
Area 21,1336,6.4200001,2010,3305.2849,44242,2840,Survey+Census
Area 22,1337,9.3699999,2010,3074.03,29136,2730,Survey+Census
Area 23,1338,7.98,2010,3338.2678,45073,3597,Survey+Census
Area 24,1339,12.9108,2010,2418.6775,22714,2933,Survey+Census
Area 25,1340,10.2814,2010,7804.728,62792,6456,Survey+Census
Area 26,1341,61.8186,2010,2784.2407,4982,3080,Survey+Census
Area 27,1342,33.096901,2010,1269.2609,2139,708,Survey+Census
Area 28,1343,2.28,2010,33.316433,25,1,Survey+Census
Area 29,1344,33.096901,2010,337.40216,514,170,Survey+Census
Area 30,1345,2.28,2010,92.019035,2414,55,Survey+Census
Area 31,1346,,2010,,,,Survey+Census
Area 32,1347,1.51,2010,9.2149773,312,5,Survey+Census
Area 33,1348,1.51,2010,195.24701,679,10,Survey+Census
Area 34,1349,,2010,,10,,Survey+Census
Area 35,1350,5.0700002,2010,753.0882,7209,365,Survey+Census
Area 36,1351,17.072599,2010,9300.2959,46265,7899,Survey+Census
Area 37,1352,6.6799998,2010,619.7276,516,34,Survey+Census
Area 38,1353,34.279499,2010,3286.5229,9662,3312,Survey+Census
Area 39,1354,38.828201,2010,1440.6135,4482,1740,Survey+Census
Area 40,1355,,2010,,8,,Survey+Census
Area 41,1356,,2010,,,,Survey+Census
Area 42,1357,,2010,,11,,Survey+Census
Area 43,1358,9.6199999,2010,173.25417,2164,208,Survey+Census
Area 44,1359,20.0135,2010,7279.2573,25690,5141,Survey+Census
Area 45,1360,15.2131,2010,856.08679,155,24,Survey+Census
Area 46,1361,34.446098,2010,2964.771,3069,1057,Survey+Census
Area 47,1362,.62199998,2010,65.047455,7386,46,Survey+Census
Area 48,1363,,2010,,,,Survey+Census
Area 49,1364,9.04,2010,2556.4377,25028,2263,Survey+Census
Area 50,1365,24.178101,2010,8906.1504,26017,6290,Survey+Census
Area 51,1366,13.4786,2010,2494.8628,13453,1813,Survey+Census
Area 52,1367,49.7253,2010,1885.0026,3305,1643,Survey+Census
Area 53,1368,20.3957,2010,4180.1577,18147,3701,Survey+Census
Area 54,1369,54.078499,2010,3818.9626,4839,2617,Survey+Census
Area 55,1370,73.563202,2010,14367.193,15394,11324,Survey+Census
Area 56,1371,18.347601,2010,7092.6924,36292,6659,Survey+Census
Area 57,1372,15.2131,2010,9583.5488,58351,8877,Survey+Census
Area 58,1373,20.292101,2010,5272.3662,22020,4468,Survey+Census
TA Mponda,1374,51.888802,2010,63802.16,106720,55376,Survey+Census
TA Chimwala,1375,67.957603,2010,86064.508,110053,74789,Survey+Census
TA Nankumba,1376,61.411301,2010,67571.227,105704,64914,Survey+Census
TA Jalasi,1377,61.4468,2010,53485.375,72645,44638,Survey+Census
SC Mbwana Nyambi,1378,63.083099,2010,59834.207,77750,49047,Survey+Census
SC Chowe,1379,66.842003,2010,79521.75,107361,71762,Survey+Census
TA Katuli,1380,67.239403,2010,39050.977,51925,34914,Survey+Census
TA Makanjila,1381,64.812401,2010,48454.59,66964,43401,Survey+Census
SC Namabvi,1382,58.650799,2010,21203.365,30526,17904,Survey+Census
Lake Malawi N. Park,1383,61.411301,2010,5579.937,737,453,Survey+Census
Mangochi Town,1384,24.527,2010,9871.5469,36879,9045,Survey+Census
Monkey Bay Urban,1385,20.2173,2010,1611.2355,10186,2059,Survey+Census
Lake Malombe,1386,,2010,,,,Survey+Census
TA Liwonde,1387,71.639397,2010,62472.195,81051,58064,Survey+Census
SC Sitola,1388,60.580601,2010,27604.826,37748,22868,Survey+Census
TA Kawinga,1389,66.985603,2010,82984.766,112419,75305,Survey+Census
SC Chamba,1390,65.8386,2010,17628.031,21473,14138,Survey+Census
SC Mposa,1391,57.396599,2010,13864.624,21449,12311,Survey+Census
SC Mlomba,1392,67.697502,2010,30899.457,40147,27179,Survey+Census
SC Chikweo,1393,68.585403,2010,41923.031,54617,37459,Survey+Census
SC Ngokwe,1394,71.071899,2010,20246.863,25571,18174,Survey+Census
SC Chiwalo,1395,58.304699,2010,13046.04,19377,11298,Survey+Census
TA Nyambi,1396,70.969398,2010,38938.895,48094,34132,Survey+Census
Liwonde National Park,1397,71.639397,2010,3572.1548,1254,898,Survey+Census
Machinga Boma,1398,60.580601,2010,563.21259,1164,705,Survey+Census
Liwonde Town,1399,25.120001,2010,6225.3066,21371,5368,Survey+Census
Lake Chilwa,1400,,2010,,,,Survey+Census
Lake Chiuta,1401,,2010,,,,Survey+Census
TA Kuntumanji,1402,50.259201,2010,40499.699,71990,36182,Survey+Census
TA Mwambo,1403,59.096699,2010,78160.133,115535,68277,Survey+Census
SC Mkumbira,1404,54.339001,2010,2677.2002,3850,2092,Survey+Census
TA Chikowi,1405,50.227299,2010,32486.084,55655,27954,Survey+Census
SC Mbiza,1406,46.8437,2010,72318.031,134222,62874,Survey+Census
TA Mlumbe,1407,57.043201,2010,82265.797,131419,74966,Survey+Census
TA Malemia,1408,40.2472,2010,26377.445,56560,22764,Survey+Census
Lake Chilwa,1409,,2010,,,,Survey+Census
TA Mpama,1410,40.557499,2010,25030.424,55254,22410,Survey+Census
TA Likoswe,1411,40.265301,2010,25039.012,54760,22049,Survey+Census
TA Kadewere,1412,54.092499,2010,46439.504,75725,40962,Survey+Census
TA Nkalo,1413,52.805698,2010,25052.416,41213,21763,Survey+Census
TA Chitera,1414,56.444199,2010,11593.615,18387,10378,Survey+Census
TA Nchema,1415,43.255001,2010,15375.048,33648,14554,Survey+Census
Chiradzulu Boma,1416,23.0326,2010,507.81149,2335,538,Survey+Census
TA Kapeni,1417,34.822201,2010,28042.264,68134,23726,Survey+Census
TA Lundu,1418,52.5746,2010,14697.567,25340,13322,Survey+Census
TA Chigaru,1419,48.5802,2010,22290.367,39427,19154,Survey+Census
TA Kunthembwe,1420,57.4063,2010,21771.906,33484,19222,Survey+Census
TA Makata,1421,57.7962,2010,10570.487,15841,9156,Survey+Census
TA Kuntaja,1422,42.937698,2010,38751.957,69679,29919,Survey+Census
TA Machinjili,1423,50.007,2010,13579.547,21184,10593,Survey+Census
TA Somba,1424,47.100399,2010,31575.463,59565,28055,Survey+Census
TA Kanduku,1425,64.544701,2010,28093.986,35391,22843,Survey+Census
TA Nthache,1426,67.853699,2010,32536.861,42807,29046,Survey+Census
Majete Game Reserve,1427,75.776398,2010,49.14481,36,27,Survey+Census
Mwanza Boma,1428,15.9513,2010,2285.1577,12533,1999,Survey+Census
TA Nsabwe,1429,50.896099,2010,19678.398,33709,17157,Survey+Census
TA Thukuta,1430,57.449699,2010,9261.0977,13664,7850,Survey+Census
TA Mbawela,1431,51.764,2010,23886.652,39737,20569,Survey+Census
TA Changata,1432,48.998001,2010,20349.297,36775,18019,Survey+Census
TA Mphuka,1433,52.3666,2010,30431.59,50362,26373,Survey+Census
TA Kwethemule,1434,44.439602,2010,24452.496,46973,20875,Survey+Census
TA Kapichi,1435,40.898499,2010,22724.084,48224,19723,Survey+Census
TA Nchilamwela,1436,37.630001,2010,26243.846,55220,20779,Survey+Census
TA Chimaliro,1437,39.979301,2010,50904.473,109565,43803,Survey+Census
TA Bvumbwe,1438,35.230999,2010,36945.996,89506,31534,Survey+Census
TA Thomas,1439,49.735802,2010,17998.078,31374,15604,Survey+Census
Thyolo Boma,1440,8.7399998,2010,602.31329,6183,540,Survey+Census
Luchenza Town,1441,10.775,2010,1278.4263,9355,1008,Survey+Census
TA Mabuka,1442,57.1586,2010,94575.031,152902,87397,Survey+Census
SC Laston Njema,1443,52.694099,2010,37015.531,66564,35075,Survey+Census
TA Chikumbu,1444,65.7939,2010,53547.168,69855,45960,Survey+Census
TA Nthiramanja,1445,53.0667,2010,24806.787,42154,22370,Survey+Census
TA Nkanda,1446,63.219002,2010,65417.375,93588,59165,Survey+Census
SC Juma,1447,51.1702,2010,45267.129,76676,39235,Survey+Census
Mulanje Boma,1448,23.6709,2010,3343.5967,12684,3002,Survey+Census
Mulanje Mountain Reserve,1449,,2010,,,,Survey+Census
TA Mkhumba,1450,60.1451,2010,144392.72,203420,122347,Survey+Census
TA Nazombe,1451,64.572197,2010,47008.605,67812,43788,Survey+Census
TA Chiwalo,1452,67.836197,2010,25047.424,32175,21826,Survey+Census
Phalombe Boma,1453,21.8008,2010,1241.2931,4293,936,Survey+Census
Lake Chilwa,1454,,2010,,,,Survey+Census
TA Ngabu,1455,85.118202,2010,139925.56,150094,127757,Survey+Census
TA Lundu,1456,53.752499,2010,27676.059,46137,24800,Survey+Census
TA Chapananga,1457,86.4832,2010,81381.438,87746,75886,Survey+Census
TA Maseya,1458,69.563103,2010,21223.422,26598,18502,Survey+Census
TA Katunga,1459,63.5695,2010,17308.793,24212,15391,Survey+Census
TA Kasisi,1460,75.007599,2010,27460.885,30787,23093,Survey+Census
TA Makhwira,1461,83.228104,2010,55165.676,63333,52711,Survey+Census
Lengwe National Park,1462,86.4832,2010,1524.1069,39,34,Survey+Census
Majete Game Reserve,1463,,2010,,,,Survey+Census
Chikwawa Boma,1464,39.527302,2010,2476.4443,5485,2168,Survey+Census
TA Ndamera,1465,85.039703,2010,23749.244,27090,23037,Survey+Census
TA Chimombo,1466,86.743599,2010,9193.7549,10422,9040,Survey+Census
TA Nyachikadza,1467,91.855202,2010,3565.8523,3647,3350,Survey+Census
TA Mlolo,1468,83.683502,2010,51963.914,57974,48515,Survey+Census
TA Tengani,1469,84.743103,2010,32071.475,34576,29301,Survey+Census
TA Mbenje,1470,79.132401,2010,38526.422,43538,34453,Survey+Census
TA Malemia,1471,81.905899,2010,19766.049,17711,14506,Survey+Census
TA Ngabu,1472,87.853302,2010,10349.426,11489,10093,Survey+Census
TA Makoko,1473,90.974098,2010,7289.0835,7369,6704,Survey+Census
Mwabvi Game Reserve,1474,84.765099,2010,5499.8442,5699,4831,Survey+Census
Nsanje Boma,1475,61.737301,2010,11252.5,19518,12050,Survey+Census
TA Nsamala,1476,60.188301,2010,130885.55,170482,102610,Survey+Census
TA Kalembo,1477,61.831799,2010,85962.328,122586,75797,Survey+Census
Balaka Town,1478,23.3713,2010,5258.4683,21381,4997,Survey+Census
TA Dambe,1479,66.952003,2010,19270.699,24620,16484,Survey+Census
TA Mlauli,1480,75.776398,2010,21888.645,24847,18828,Survey+Census
TA Symon,1481,56.186798,2010,24849.785,38647,21715,Survey+Census
TA Ngozi/Chekucheku,1482,57.9305,2010,12236.056,17469,10120,Survey+Census
Neno Boma,1483,57.9305,2010,777.67328,1467,850,Survey+Census
Mbedza Ward,1484,12.8774,2010,605.49884,3433,442,Survey+Census
Mtiya Ward,1485,6.9400001,2010,889.44135,7834,544,Survey+Census
Masongola Ward,1486,5.6500001,2010,108.081,784,44,Survey+Census
Chikamveka Ward,1487,7.0500002,2010,350.97934,2780,196,Survey+Census
Chikamveka North Ward,1488,19.250799,2010,3605.0076,13149,2531,Survey+Census
Chirunga East Ward,1489,14.3257,2010,583.65485,6694,959,Survey+Census
Chirunga Ward,1490,5.6500001,2010,313.28683,1920,108,Survey+Census
Likangala Ward,1491,10.8085,2010,1473.5171,12504,1351,Survey+Census
Zakazaka Ward,1492,4.0300002,2010,339.98523,5370,216,Survey+Census
Zomba Central Ward,1493,1.37,2010,43.443558,2244,31,Survey+Census
Chambo Ward,1494,9.8699999,2010,948.4566,4247,419,Survey+Census
Sadzi Ward,1495,11.0248,2010,377.11499,8855,976,Survey+Census
Likangala Central Ward,1496,14.2084,2010,990.25812,7566,1075,Survey+Census
Likangala South Ward,1497,14.2084,2010,190.65387,1460,207,Survey+Census
Michiru Ward,1498,9.3299999,2010,5209.6084,44119,4116,Survey+Census
South Lunzu Ward,1499,9.6899996,2010,4526.8662,36831,3569,Survey+Census
Mapanga  Ward,1500,8.8699999,2010,2759.0652,22942,2035,Survey+Census
Nkolokoti Ward,1501,9.0900002,2010,2689.897,33945,3086,Survey+Census
Ndirande North Ward,1502,8.1000004,2010,4983.563,27640,2239,Survey+Census
Ndirande South Ward,1503,6.4099998,2010,2254.958,62533,4008,Survey+Census
Ndirande West Ward,1504,6.3299999,2010,1607.0627,14708,931,Survey+Census
Nyambadwe  Ward,1505,2.54,2010,153.79451,7604,193,Survey+Census
Likhubula Ward,1506,6.1500001,2010,4015.3284,49493,3044,Survey+Census
Chilomoni Ward,1507,6.1799998,2010,1830.4186,35367,2186,Survey+Census
Blantyre West Ward,1508,8.3999996,2010,2198.8967,22200,1865,Survey+Census
Blantyre Central Ward,1509,1.26,2010,114.08205,4468,56,Survey+Census
Blantyre East Ward,1510,2.54,2010,357.43521,1657,42,Survey+Census
Chichiri Ward,1511,.88099998,2010,108.62992,4746,42,Survey+Census
Mzedi Ward,1512,15.8608,2010,4093.9968,12684,2012,Survey+Census
Bangwe Ward,1513,6.54,2010,2579.4568,33704,2204,Survey+Census
Namiyango Ward,1514,9.6599998,2010,1926.4615,18232,1761,Survey+Census
Limbe East Ward,1515,8.0600004,2010,2705.9116,37023,2984,Survey+Census
Limbe Central Ward,1516,.36300001,2010,23.788013,2705,10,Survey+Census
Limbe West Ward,1517,1.3,2010,242.25179,12034,156,Survey+Census
Soche East Ward,1518,.23899999,2010,39.405422,13456,32,Survey+Census
Soche West Ward,1519,4.6599998,2010,1777.277,48327,2252,Survey+Census
Nancholi Ward,1520,10.5929,2010,1355.6885,23569,2497,Survey+Census
Misesa Ward,1521,21.0487,2010,4679.1123,30094,6334,Survey+Census
Chigumula Ward,1522,19.7806,2010,3864.5261,22965,4543,Survey+Census
Msamba Ward,1523,46.7416,2010,1562.9634,4246,1985,Survey+Census
